"Research that uses data from D-PLACE should cite both the original source(s) of  the data and the paper by Kirby et al. in which D-PLACE was first presented  (e.g., research using cultural data from the Binford Hunter-Gatherer dataset: ""Binford (2001);  Binford and Johnson (2006); Kirby et al. Submitted)."" The reference list should include the date data were  accessed and URL for D-PLACE (https://d-place.org), in addition to the full references for Binford (2001),  Binford and Johnson (2006), and Kirby et al. Submitted."
Source,Preferred society name,Society id,Cross-dataset id,Original society name,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,Focal Year: EA027 Kin terms for cousins,Code: EA027 Kin terms for cousins,Description: EA027 Kin terms for cousins,Comment: EA027 Kin terms for cousins,Subcase: EA027 Kin terms for cousins,References: EA027 Kin terms for cousins,Focal Year: EA043 Descent: major type,Code: EA043 Descent: major type,Description: EA043 Descent: major type,Comment: EA043 Descent: major type,Subcase: EA043 Descent: major type,References: EA043 Descent: major type
Ethnographic Atlas,Gros Ventre,Ne1,xd1208,Gros Ventre (Ne1),48.78,-108.98,49.0,-109.0,gros1243,Gros Ventre,ats,Algic,1880,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,Gros Ventre Tribe,Kroeber(1908); Flannery(1953); Cooper(1956); ,1880,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,Gros Ventre Tribe,Kroeber(1908); Flannery(1953); Cooper(1956); 
Ethnographic Atlas,Manus,Ig9,xd861,Manus (Ig9),-2.0,147.0,-2.0,147.0,tita1241,Titan,ttv,Austronesian,1920,8,"Mixed or variant patterns not adequately represented by any of the foregoing symbols. The details are given under ""Classification by Clusters.""","I between cross-cousins of the same sex, Crow between MoBrSo and FaSiDa, Hawaiian between FaSiSo and MoBrDa",Peri Village,Mead(1937b); Mead(1934); Mead(1932a); Mead(1930b); Mead(1930a); Fortune(1935); Mead(1969); ,1920,2,"Duolateral (EA017 > 1, EA019 > 1, EA021 = 9 or EA021 = 0)",,Peri Village,Mead(1937b); Mead(1934); Mead(1932a); Mead(1930b); Mead(1930a); Fortune(1935); Mead(1969); 
Ethnographic Atlas,Moghol,Ea7,xd606,Moghol (Ea7),34.0,63.0,34.0,63.0,mogh1245,Mogholi,mhj,Mongolic,1950,2,"Descriptive or derivative, rather than elementary, terms employed for all cousins","But kin terms were obtained in Persian, not in Mongolian",,Schurmann(1962); ,1950,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Schurmann(1962); 
Ethnographic Atlas,Acholi,Aj10,xd385,Acholi (Aj10),3.0,32.0,3.0,32.0,dhop1238,Dhopaluo,,Nilotic,1920,6,"Omaha, i.e., MoBrCh equated with MoBr or Mo and/or FaSiCh with SiCh(ms) or Ch",,,Grove(1919); Girling(1960); Seligman and Seligman(1932); Butt(1952b); ,1920,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Grove(1919); Girling(1960); Seligman and Seligman(1932); Butt(1952b); 
Ethnographic Atlas,Hutsuls,Ch2,xd557,Hutsul (Ch2),49.0,24.0,49.0,24.0,sout2604,Southwest Ukrainian,,Indo-European,1890,3,"Eskimo, i.e., FaBrCh, FaSiCh, MoBrCh, and MoSiCh equated with each other but differentiated from siblings",,,Kaindl(1894); Szuchiewicz(1902-08); Koenig(1935); ,1890,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Kaindl(1894); Szuchiewicz(1902-08); Koenig(1935); 
Ethnographic Atlas,Brazilians,Cf4,xd539,Brazilians (Cf4),-23.68,-46.64,-43.0,-47.0,braz1246,Brazilian Portuguese,,Indo-European,1940,3,"Eskimo, i.e., FaBrCh, FaSiCh, MoBrCh, and MoSiCh equated with each other but differentiated from siblings",,with special reference to the village of Cruz das Almas near Sao Paulo,Pierson(1951); ,1940,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,with special reference to the village of Cruz das Almas near Sao Paulo,Pierson(1951); 
Ethnographic Atlas,Hamyan,Cd14,xd512,Hamyan (Cd14),35.0,2.0,35.0,2.0,oran1236,Oran,,Afro-Asiatic,,NA,Missing data,,,,1870,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Bernard(1929); Villot(1875); 
Ethnographic Atlas,Nama,Aa3,xd3,Nama Hottentot (Aa3),-26.0,18.0,-26.0,18.0,nama1265,Nama,,Khoe-Kwadi,1840,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,Gei/Khauan tribe,Schultze(1907); Murdock(1934f); Kohler(1970); Schapera(1930); Hoernl(1925); Hoernl(1918); ,1840,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,Gei/Khauan tribe,Schultze(1907); Murdock(1934f); Kohler(1970); Schapera(1930); Hoernl(1925); Hoernl(1918); 
Ethnographic Atlas,Djafun,Cb21,xd471,Djafun (Cb21),8.0,13.0,8.0,13.0,adam1253,Adamawa Fulfulde,fub,Atlantic-Congo,1930,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Pfeffer(1936); ,1930,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Pfeffer(1936); 
Ethnographic Atlas,Nkundo,Ae4,xd160,Nkundo (Ae4),0.0,20.0,0.0,20.0,nkun1238,Nkundo,,Atlantic-Congo,1930,1,"Crow, i.e., FaSiCh equated with Fa or FaSi and/or MoBrCh with Ch or BrCh(ws)",,Ilanga group,Gutersohn(1920); Brepoels(1930); Schebesta(1936); Van der Kerken(1944); Boelaert(1940); Hulstaert(1971); Hulstaert(1938); ,1930,2,"Duolateral (EA017 > 1, EA019 > 1, EA021 = 9 or EA021 = 0)",,Ilanga group,Gutersohn(1920); Brepoels(1930); Schebesta(1936); Van der Kerken(1944); Boelaert(1940); Hulstaert(1971); Hulstaert(1938); 
Ethnographic Atlas,Ifugao,Ia3,xd743,Ifugao (Ia3),17.0,121.0,17.0,121.0,bata1298,Batad Ifugao,ifb,Austronesian,1920,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,Kiangan Group,Barton(1930); Barton(1922); Barton(1919); Barton(1946); Barton(1938); ,1920,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,Kiangan Group,Barton(1930); Barton(1922); Barton(1919); Barton(1946); Barton(1938); 
Ethnographic Atlas,Lillooet,Nd9,xd1207,Lillooet (Nd9),50.02,-124.78,50.0,-125.0,lill1248,Lillooet,lil,Salishan,1860,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Ray(1942); Teit(1906b); Hill-Tout(1905); ,1860,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Ray(1942); Teit(1906b); Hill-Tout(1905); 
Ethnographic Atlas,Miyakans,Ed15a,xd642,Miyakans (Ed15a),24.79,125.32,24.0,125.0,miya1259,Miyako,mvi,Japonic,1950,3,"Eskimo, i.e., FaBrCh, FaSiCh, MoBrCh, and MoSiCh equated with each other but differentiated from siblings",,with special reference to the village of Karimata,Burd(1952); ,1950,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,with special reference to the village of Karimata,Burd(1952); 
Ethnographic Atlas,Ngumba,Ae42,xd163,Ngumba (Ae42),3.0,11.0,3.0,11.0,kwas1243,Kwasio,nmg,Atlantic-Congo,,NA,Missing data,,,,1900,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Dugast(1949); Conradt(1902); 
Ethnographic Atlas,Bakongo,Ac14,xd38,Kongo (Ac14),-7.0,15.0,-7.0,15.0,sans1272,San Salvador Kongo,kwy,Atlantic-Congo,1900,NA,Missing data,"Possibly Crow, though the sources are in conflict",,Mertens(1942); Van Wing(1921); Kapstein(1922); Bruyns(1951); Czekanowski(1924); Brown(1944); Ihle(1929); Weeks(1914); ,1900,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,,Mertens(1942); Van Wing(1921); Kapstein(1922); Bruyns(1951); Czekanowski(1924); Brown(1944); Ihle(1929); Weeks(1914); 
Ethnographic Atlas,Crow,Ne4,xd1223,Crow (Ne4),45.0,-108.0,45.0,-108.0,crow1244,Crow,cro,Siouan,1870,1,"Crow, i.e., FaSiCh equated with Fa or FaSi and/or MoBrCh with Ch or BrCh(ws)",,,Lowie(1917b); Lowie(1912b); Denig(1953); Lowie(1935); Lowie(1919); Lowie(1922); Wagner and Allen(1933); ,1870,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,,Lowie(1917b); Lowie(1912b); Denig(1953); Lowie(1935); Lowie(1919); Lowie(1922); Wagner and Allen(1933); 
Ethnographic Atlas,Wadatkuht,Nd26,xd992,Wadatkuht (Nd26),41.0,-120.0,41.0,-120.0,sout2967,South Northern Paiute,,Uto-Aztecan,,NA,Missing data,,,,1870,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Riddell(1960); 
Ethnographic Atlas,Nuer,Aj3,xd406,Nuer (Aj3),8.0,32.0,8.0,32.0,nuer1246,Nuer,nus,Nilotic,1930,2,"Descriptive or derivative, rather than elementary, terms employed for all cousins",,,Evans-Pritchard(1936); Tucker(1933); Jackson(1923); Evans-Pritchard(1950b); Evans-Pritchard(1940b); Evans-Pritchard(1940a); Seligman and Seligman(1932); ,1930,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Evans-Pritchard(1936); Tucker(1933); Jackson(1923); Evans-Pritchard(1950b); Evans-Pritchard(1940b); Evans-Pritchard(1940a); Seligman and Seligman(1932); 
Ethnographic Atlas,Kohistani,Ea4,xd603,Kohistani (Ea4),35.0,73.0,35.0,73.0,indu1241,Indus Kohistani,mvy,Indo-European,1950,2,"Descriptive or derivative, rather than elementary, terms employed for all cousins",,,Barth(1956b); ,1950,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Barth(1956b); 
Ethnographic Atlas,Ponca,Nf12,xd1232,Ponca (Nf12),43.0,-99.0,43.0,-99.0,ponc1241,Ponca,,Siouan,1850,6,"Omaha, i.e., MoBrCh equated with MoBr or Mo and/or FaSiCh with SiCh(ms) or Ch",,,Howard(1965b); Dorsey(1897); ,1850,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Howard(1965b); Dorsey(1897); 
Ethnographic Atlas,Palikur,Sd3,xd1355,Palikur (Sd3),3.0,-52.0,3.0,-52.0,pali1279,Palikúr,plu,Arawakan,,NA,Missing data,,,,1920,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Nimuendaju(1926); 
Ethnographic Atlas,Shluh,Cd5,xd523,Shluh (Cd5),30.0,-9.0,30.0,-9.0,susi1238,Susiua,,Afro-Asiatic,,NA,Missing data,,,,1920,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,with special reference to those of the Grand Atlas Mountains,Ubach and Rackow(1923); Montagne(1930); Montagne(1927); 
Ethnographic Atlas,Comanche,Ne3,xd1222,Comanche (Ne3),33.0,-100.0,33.0,-100.0,coma1245,Comanche,com,Uto-Aztecan,1870,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,Comanche Tribe,Rister(1955); Gladwin(1948); Lee(1957); Wallace and Hoebel(1952); Hoebel(1940); ,1870,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)","See related comment(s) by Murdock: variable EA021: Or quite possibly bilateral (inferred) (code ""1"")",Comanche Tribe,Rister(1955); Gladwin(1948); Lee(1957); Wallace and Hoebel(1952); Hoebel(1940); 
Ethnographic Atlas,Hidatsa,Ne15,xd1214,Hidatsa (Ne15),47.0,-101.0,47.0,-101.0,hida1246,Hidatsa,hid,Siouan,1860,1,"Crow, i.e., FaSiCh equated with Fa or FaSi and/or MoBrCh with Ch or BrCh(ws)",,Hidatsa Village,Matthews(1877); Wilson(1917); Curtis(1909); Wied-Neuwied(1906); Bowers(1965); ,1860,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,Hidatsa Village,Matthews(1877); Wilson(1917); Curtis(1909); Wied-Neuwied(1906); Bowers(1965); 
Ethnographic Atlas,Muscogee,Ng3,xd1252,Creek (Ng3),33.0,-84.0,33.0,-84.0,cree1270,Creek,mus,Muskogean,1750,1,"Crow, i.e., FaSiCh equated with Fa or FaSi and/or MoBrCh with Ch or BrCh(ws)",,Upper division in Alabama,Speck(1907); Swanton(1928a); Murdock(1956); Bartram(1953); Swanton(1946); Swanton(1928c); ,1750,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,Upper division in Alabama,Speck(1907); Swanton(1928a); Murdock(1956); Bartram(1953); Swanton(1946); Swanton(1928c); 
Ethnographic Atlas,Korongo,Ai38,xd368,Korongo (Ai38),10.0,30.0,10.0,30.0,kron1241,Krongo,kgo,Kadugli-Krongo,1930,2,"Descriptive or derivative, rather than elementary, terms employed for all cousins",,,Nadel(1947); Seligman and Seligman(1932); ,1930,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,,Nadel(1947); Seligman and Seligman(1932); 
Ethnographic Atlas,Maguzawa,Cb1,xd458,Maguzawa (Cb1),12.0,10.0,12.0,10.0,kano1249,Kano,,Afro-Asiatic,1940,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Greenberg(1947); Greenberg(1946); ,1940,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Greenberg(1947); Greenberg(1946); 
Ethnographic Atlas,Paresi,Si7,xd1404,Paressi (Si7),-15.0,-58.0,-15.0,-58.0,pare1272,Parecís,pab,Arawakan,1910,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,with special reference to the Cozarimi,Schmidt(1914); Metraux(1948a); ,1910,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,with special reference to the Cozarimi,Schmidt(1914); Metraux(1948a); 
Ethnographic Atlas,Koalib,Ai37,xd367,Koalib (Ai37),12.0,31.0,12.0,31.0,koal1240,Koalib,kib,Heiban,1940,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Nadel(1947); ,1940,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Nadel(1947); 
Ethnographic Atlas,Bergdama,Aa4,xd4,Bergdama (Aa4),-22.0,16.0,-22.0,16.0,dama1270,Damara,,Khoe-Kwadi,1920,2,"Descriptive or derivative, rather than elementary, terms employed for all cousins",,,Vedder(1923); Schmidt(1930); Lebzelter(1934); ,1920,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Vedder(1923); Schmidt(1930); Lebzelter(1934); 
Ethnographic Atlas,Serer,Ag22,xd258,Serer (Ag22),14.0,-12.0,14.0,-12.0,sere1260,Serer,srr,Atlantic-Congo,,NA,Missing data,,,,1920,2,"Duolateral (EA017 > 1, EA019 > 1, EA021 = 9 or EA021 = 0)",See related comment(s) by Murdock: variable EA017: But patrilineal exogamy extends only to second cousins,with special reference to those of Sine,Fayet(1939); Dulphy(1939); Bourgeau(1933); Aujas(1931); 
Ethnographic Atlas,Jur,Ai36,xd366,Jur (Ai36),8.0,28.0,8.0,28.0,jurm1239,Jur Modo,bex,Central Sudanic,,NA,Missing data,,,,1920,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Santandrea(1944-45); Butt(1952b); Bernatzik(1936); Crazzolara(1954); Ghawi(1924); Manuel(1965); 
Ethnographic Atlas,Manam,Ie29,xd806,Manam (Ie29),-4.08,145.03,-4.0,145.0,mana1295,Manam,mva,Austronesian,1930,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,principally Tsogari,Wedgwood(1937); Wedgwood(1934); ,1930,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,principally Tsogari,Wedgwood(1937); Wedgwood(1934); 
Ethnographic Atlas,Kol,Eg8,xd684,Kol (Eg8),22.0,85.0,22.0,85.0,mund1320,Mundari,unr,Austroasiatic,1940,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Griffiths(1946); ,1940,5,"Ambilineal (EA017 = 1, EA019 = 1, EA021 = 3 or EA021 = 4 or EA021 = 5)","See related comment(s) by Murdock: variable EA021: The groups called ""endogamous septs"" are apparently not unilineal",,Griffiths(1946); 
Ethnographic Atlas,Wadadokado,Nd22,xd1155,Wadadokado (Nd22),43.0,-119.0,43.0,-119.0,nort1551,North Northern Paiute,,Uto-Aztecan,1870,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,Wadadika of Harney Valley,Whiting(1950); Stewart(1941); Stewart(1937); ,1870,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,Wadadika of Harney Valley,Whiting(1950); Stewart(1941); Stewart(1937); 
Ethnographic Atlas,/Xam,Aa8,xd8,Xam (Aa8),-30.0,23.0,-30.0,23.0,xamm1241,Kham,xam,Tuu,1850,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Bleek(1924); Barrow(1801-04); Fritsch(1872); ,1850,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Bleek(1924); Barrow(1801-04); Fritsch(1872); 
Ethnographic Atlas,Ngombe,Ae39,xd159,Ngombe (Ae39),2.0,20.0,2.0,20.0,binj1250,Binja,,Atlantic-Congo,1920,8,"Mixed or variant patterns not adequately represented by any of the foregoing symbols. The details are given under ""Classification by Clusters.""","Sibling terms extended to FaBrCh, but a special term for all other cousins",,Wolfe(1965); Wolfe(1961); Burssens(1958); ,1920,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Wolfe(1965); Wolfe(1961); Burssens(1958); 
Ethnographic Atlas,Magyar,Ch8,xd572,Hungarian (Ch8),47.0,20.0,47.0,20.0,hung1274,Hungarian,hun,Uralic,1940,3,"Eskimo, i.e., FaBrCh, FaSiCh, MoBrCh, and MoSiCh equated with each other but differentiated from siblings",,,Hanzeli(1955); ,1940,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Hanzeli(1955); 
Ethnographic Atlas,Gimma,Cb12,xd461,Gimma (Cb12),13.0,32.0,13.0,32.0,nort3133,North Kordofan Arabic,,Afro-Asiatic,,NA,Missing data,,,,1920,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Reid(1930); 
Ethnographic Atlas,Bungi,Ne14,xd1213,Bungi (Ne14),51.0,-100.0,51.0,-100.0,west1510,Western Ojibwa,ojw,Algic,1850,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Skinner(1914b); Hesketh(1923); Howard(1965a); Howard(1961); ,1850,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Skinner(1914b); Hesketh(1923); Howard(1965a); Howard(1961); 
Ethnographic Atlas,Kiga,Ad13,xd80,Chiga (Ad13),-3.0,30.0,-3.0,30.0,chig1238,Chiga,cgg,Atlantic-Congo,1930,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Taylor(1962); Edel(1957); Edel(1937); ,1930,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Taylor(1962); Edel(1957); Edel(1937); 
Ethnographic Atlas,Catawba,Ng9,xd1258,Catawba (Ng9),35.0,-80.0,35.0,-80.0,cata1286,Catawba,chc,Siouan,1920,3,"Eskimo, i.e., FaBrCh, FaSiCh, MoBrCh, and MoSiCh equated with each other but differentiated from siblings",But almost certainly not aboriginally,,Swanton(1946); Speck and Schaeffer(1942); Sturtevant(1965); ,1920,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)","See related comment(s) by Murdock: variable EA019: Sturtevant questions the note that the Catawba were ""probably matrilineal aborginally,"" doubting the reliability of Lederer on the basis of whom the statement was made",,Swanton(1946); Speck and Schaeffer(1942); Sturtevant(1965); 
Ethnographic Atlas,Yapese,If6,xd837,Yapese (If6),9.55,138.13,9.0,138.0,yape1248,Yapese,yap,Austronesian,1910,1,"Crow, i.e., FaSiCh equated with Fa or FaSi and/or MoBrCh with Ch or BrCh(ws)",,Island,Schneider(1957c); Schneider(1953); Tetens and Kubary(1873); Senfft(1903); Muller(1917); Tetens(1958); Hunt et al.(1949); Schneider(nd); Salesius(1906); Murdock et al.(1944b); Schneider(1962); ,1910,2,"Duolateral (EA017 > 1, EA019 > 1, EA021 = 9 or EA021 = 0)",,Island,Schneider(1957c); Schneider(1953); Tetens and Kubary(1873); Senfft(1903); Muller(1917); Tetens(1958); Hunt et al.(1949); Schneider(nd); Salesius(1906); Murdock et al.(1944b); Schneider(1962); 
Ethnographic Atlas,Sarcee,Ne7,xd1226,Sarsi (Ne7),54.0,-110.0,54.0,-110.0,sars1236,Sarsi,srs,Athapaskan-Eyak-Tlingit,1880,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Jenness(1938); Honigmann(1956a); ,1880,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Jenness(1938); Honigmann(1956a); 
Ethnographic Atlas,Blackfoot,Ne12,xd1211,Blackfoot (Ne12),51.0,-112.0,51.0,-112.0,pieg1239,Piegan,,Algic,1850,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Ewers(1958); Hanks and Richardson(1945); Wissler(1912); Wissler(1910); ,1850,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Ewers(1958); Hanks and Richardson(1945); Wissler(1912); Wissler(1910); 
Ethnographic Atlas,Lozi,Ab3,xd26,Lozi (Ab3),-15.0,23.0,-15.0,23.0,lozi1239,Lozi,loz,Atlantic-Congo,1890,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,Ruling Luyana,Mainga(1973); Bertrand(1899); Holub(1895); Turner(1952); Gluckman(1972); Gluckman(1951); Gluckman(1950); Gluckman(1941); ,1890,5,"Ambilineal (EA017 = 1, EA019 = 1, EA021 = 3 or EA021 = 4 or EA021 = 5)",,Ruling Luyana,Mainga(1973); Bertrand(1899); Holub(1895); Turner(1952); Gluckman(1972); Gluckman(1951); Gluckman(1950); Gluckman(1941); 
Ethnographic Atlas,Lovedu,Ab14,xd15,Lovedu (Ab14),-24.0,31.0,-24.0,31.0,lobe1242,Lobedu,,Atlantic-Congo,1930,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Krige and Krige(1943); ,1930,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Krige and Krige(1943); 
Ethnographic Atlas,Garo,Ei1,xd696,Garo (Ei1),26.0,91.0,26.0,91.0,garo1247,Garo,grt,Sino-Tibetan,1900,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,Rengsanggr,Playfair(1909); Burling(1963); ,1900,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,Rengsanggr,Playfair(1909); Burling(1963); 
Ethnographic Atlas,Tallensi,Ag4,xd277,Tallensi (Ag4),11.0,-1.0,11.0,-1.0,taln1239,Talni,,Atlantic-Congo,1930,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,Tallensi Tribe,Lynn(1937); Rattray(1932); Fortes(1975); Fortes(1949a); Fortes(1945); Fortes(1940); Fortes(1938); Fortes(1937); Fortes and Fortes(1936); ,1930,2,"Duolateral (EA017 > 1, EA019 > 1, EA021 = 9 or EA021 = 0)",,Tallensi Tribe,Lynn(1937); Rattray(1932); Fortes(1975); Fortes(1949a); Fortes(1945); Fortes(1940); Fortes(1938); Fortes(1937); Fortes and Fortes(1936); 
Ethnographic Atlas,Orokaiva,Ie9,xd823,Orokaiva (Ie9),-9.0,148.0,-9.0,148.0,orok1269,Orokaiva,okv,Nuclear Trans New Guinea,1920,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Williams(1928); Reay(1953); Waddell and Krinks(1968); Williams(1930); ,1920,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Williams(1928); Reay(1953); Waddell and Krinks(1968); Williams(1930); 
Ethnographic Atlas,Karankawa,Ne16,xd1215,Karankawa (Ne16),29.0,-96.0,29.0,-96.0,kara1289,Karankawa,zkk,Karankawa,,NA,Missing data,,,,1800,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Gatschet(1891); Schaedel(1949); 
Ethnographic Atlas,Piaroa,Sc8,xd1351,Piaroa (Sc8),5.0,-67.0,5.0,-67.0,piar1243,Piaroa,pid,Jodi-Saliban,1950,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Wilbert(1963); Wilbert(1958a); ,1950,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)","See related comment(s) by Murdock: variable EA021: Or perhaps quasi-lineages (code ""6"")",,Wilbert(1963); Wilbert(1958a); 
Ethnographic Atlas,Dinka,Aj11,xd386,Dinka (Aj11),9.0,29.0,9.0,29.0,sout2832,Southwestern Dinka,dik,Nilotic,1900,2,"Descriptive or derivative, rather than elementary, terms employed for all cousins",,,Titherington(1927); Nebel(1948); Cummins(1904); Howell(1951); Lienhardt(1961); Lienhardt(1958); Stubbs and Morrison(1938); Seligman and Seligman(1932); ,1900,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Titherington(1927); Nebel(1948); Cummins(1904); Howell(1951); Lienhardt(1961); Lienhardt(1958); Stubbs and Morrison(1938); Seligman and Seligman(1932); 
Ethnographic Atlas,Yungur,Ah33,xd324,Yungur (Ah33),10.0,12.0,10.0,12.0,voro1240,Voro,vor,Atlantic-Congo,1920,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Meek(1931d); Temple(1922); ,1920,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Meek(1931d); Temple(1922); 
Ethnographic Atlas,Mundang,Ai15,xd343,Mundang (Ai15),10.0,14.0,10.0,14.0,mund1325,Mundang,mua,Atlantic-Congo,,NA,Missing data,,,,1900,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Brussaux(1907); Martin(1947); Lembezat(1916a); 
